order_type,dim_group_id,order_no,dim_bookingdate_id,dim_store_id,service_fee_code,dim_customer_id,dim_language,dim_totals_currency,dim_status_id,phone,payment_amount,discount_amount,service_fee_amount,base_amount,inputvat,outputvat,product_vat,selling_price,selling_price_vat,ibv,iov_usd,gbv,gbv_usd
visa,55,V22101609081000,20221016,1000,NULL,c1aa8958ea94ae32aa9ebedab2488c31,en,SAR,CONFIRMED,3f1b3667cb5aa831ef3c03a8749c00ac,262,0,NULL,262,0,0,0,262,0,262,69.87539989,262,69.87539989
car-rental,55,R23021627021000,20230216,1000,NULL,43e8244f8b333218d694b75b49418f79,en,SAR,CANCELLED,663fc9b9e2c563b1b62d9f615be52ca7,431.25,0,NULL,275,0,41.25,41.25,275,41.25,275,73.34249988,0,0
cruise,55,CR22101546311000,20221015,1000,NULL,5bb14c3384a01fa761b8e7aa6648491d,en,SAR,CONFIRMED,78b425911573d310f73bb1c695dd0458,3570,0,NULL,3570,0,0,0,3570,0,635,169.3544997,635,169.3544997
visa,55,V22121542771000,20221215,1000,NULL,e5279261000b4ae82e201437b4237cb6,en,SAR,CONFIRMED,797e5509d69c048bbdfa9251217fadb1,635,0,NULL,635,0,0,0,635,0,104.35,27.83014455,104.35,27.83014455
car-rental,55,R23020591861000,20230205,1000,NULL,e7c3071f9ed253f885ff1ecc5db9c1fc,en,SAR,CONFIRMED,9ed371b7609dfdda0c26282e915de43c,119.9999,0,NULL,104.348,0,15.6522,15.6521,104.348,15.6521,260.87,69.57402759,260.87,69.57402759
car-rental,55,R23020461731000,20230204,1000,NULL,27a7b1484121ab42749a5154e6ce608a,en,SAR,CONFIRMED,40f97b582a356bfdf5fd0ce22f5276f5,299.9999,0,NULL,260.87,0,39.1304,39.1304,260.87,39.1304,3120,832.1039987,3120,832.1039987
car-rental,55,R23010549061000,20230105,1000,NULL,a907033e8dfdf4e8762473ac817f8ee0,en,SAR,CONFIRMED,b05377670c39ad246526c206d788d087,3200,0,NULL,3120,0,0,0,3120,0,225,60.0074999,225,60.0074999
transfer,55,T22081855501000,20220818,1000,NULL,1fe9149b5a51cdda74442e3aca6c8ce6,en,SAR,CONFIRMED,dc83d1eeec196ce4562b62f320e96bcd,225,0,NULL,225,0,0,0,225,0,1040,277.3679996,1040,277.3679996
car-rental,55,R23012531631000,20230125,1000,NULL,466f15e13bd8da12cf55133b5fe9bea1,en,SAR,CONFIRMED,1f7e34d50c44db80f92f93078edd300f,145.314,0,NULL,117,0,17.55,17.55,117,17.55,1240,330.7079995,1240,330.7079995
train,55,TR22102774271000,20221027,1000,NULL,5cb007dccf48c79e93fd025fb1b7cd08,en,SAR,CONFIRMED,af1224e2ae6d053b96f19f99626e95e2,1040,0,NULL,1040,0,0,0,1040,0,1170,312.0389995,1170,312.0389995
transfer,55,T22100433341000,20221004,1000,NULL,6a73d3536e75b89db8c439a673383a36,en,SAR,CONFIRMED,cc3a88b94a03e097c1d2d3b8351fb95c,1240,0,NULL,1240,0,0,0,1240,0,113.04,30.1477682,113.04,30.1477682
car-rental,55,R22080996221000,20220809,1000,NULL,00b6c15b9e3c6af681762b86d1d54d8a,en,SAR,CONFIRMED,7f95adb3c3bcc1ced8e98d3bb74151c6,511.9998,0,NULL,445.217,0,66.7826,66.7826,445.217,66.7826,2733,728.8910988,2733,728.8910988
transfer,55,T22081362241000,20220813,1000,NULL,c8744b82849714459b5d89700d149408,en,SAR,CONFIRMED,a0852149e6046a08adfd72ca67344911,1170,0,NULL,1170,0,0,0,1170,0,395,105.3464998,395,105.3464998
